"","Country","Year","Age","D","N"
"144","Polonia",2015,110,20,20.5
"145","Chile",2000,0,10435,1168749.39
"146","Chile",2000,1,2165,4736095.73
"147","Chile",2000,5,1342,6578527.5
"148","Chile",2000,10,1625,7081613.97
"149","Chile",2000,15,3381,6457821.66
"150","Chile",2000,20,4941,6018878.19
"151","Chile",2000,25,5608,5970307.96
"152","Chile",2000,30,6633,6008399.36
"153","Chile",2000,35,8600,6134671.77
"154","Chile",2000,40,11177,5669293.18
"155","Chile",2000,45,13917,4565349.68
"156","Chile",2000,50,17739,3788356.01
"157","Chile",2000,55,23227,3074447.13
"158","Chile",2000,60,29502,2536879.72
"159","Chile",2000,65,36714,2014227.07
"160","Chile",2000,70,50051,1696585.55
"161","Chile",2000,75,52479,1126752.02
"162","Chile",2000,80,51563,692663.86
"163","Chile",2000,85,44754,371606.96
"164","Chile",2000,90,25900,134915.01
"165","Chile",2000,95,8275,28119.65
"166","Chile",2000,100,1413,3345.99
"167","Chile",2000,105,111,255.22
"168","Chile",2000,110,22,46.87
"169","Chile",2010,0,9099.15,1226751.58
"170","Chile",2010,1,1455.02,4854640.49
"171","Chile",2010,5,860.01,5782382.4
"172","Chile",2010,10,1124.02,6085329.62
"173","Chile",2010,15,3228.03,6796301.74
"174","Chile",2010,20,4900.07,7231975.8
"175","Chile",2010,25,5066.08,6524907.47
"176","Chile",2010,30,5641.11,6047873.96
"177","Chile",2010,35,7275.14,5967287.56
"178","Chile",2010,40,10454.17,5914103.04
"179","Chile",2010,45,15606.27,5989855.97
"180","Chile",2010,50,21342.38,5436323.12
"181","Chile",2010,55,26884.48,4405407.85
"182","Chile",2010,60,33907.6,3515295.4
"183","Chile",2010,65,43627.76,2807089.08
"184","Chile",2010,70,51787.91,2142699.5
"185","Chile",2010,75,60269.94,1530141.63
"186","Chile",2010,80,71823.07,993097.62
"187","Chile",2010,85,61229.95,512543.02
"188","Chile",2010,90,38668.54,207515.2
"189","Chile",2010,95,15735.2,55574.2
"190","Chile",2010,100,3084.02,7790.4
"191","Chile",2010,105,266,561.02
"192","Chile",2010,110,20,67.63
"193","Chile",2015,0,7714.07,1136368.29
"194","Chile",2015,1,1243,4717362.79
"195","Chile",2015,5,799.03,6024941.07
"196","Chile",2015,10,936.01,5790952.44
"197","Chile",2015,15,2769.05,6192403.69
"198","Chile",2015,20,4383.08,6879020.15
"199","Chile",2015,25,5495.09,7283956.06
"200","Chile",2015,30,5881.1,6547618.93
"201","Chile",2015,35,7124.13,6052233.49
"202","Chile",2015,40,9754.12,5949172.09
"203","Chile",2015,45,13962.21,5846887.44
"204","Chile",2015,50,21335.29,5879825.33
"205","Chile",2015,55,29067.41,5280334.92
"206","Chile",2015,60,36732.49,4261018.39
"207","Chile",2015,65,45295.6,3306388.33
"208","Chile",2015,70,56272.67,2584297.81
"209","Chile",2015,75,64196.76,1847938.6
"210","Chile",2015,80,70605.77,1204053.35
"211","Chile",2015,85,74124.67,630732.51
"212","Chile",2015,90,48619.36,233008.63
"213","Chile",2015,95,19240.11,63106.63
"214","Chile",2015,100,4228.02,9839.07
"215","Chile",2015,105,393,829.99
"216","Chile",2015,110,23,91.18
