id;nhogar;miembro;aesc_sosten;ISEI_sosten;patrimonio;ios_cod;ios;iosterciles;ioscuartiles
931;1;1;12;46;5;1;0,07;2;3
932;1;1;7;34;4;1;-0,53;1;2
933;1;2;4;35;4;1;-0,83;1;1
934;1;1;15;58;5;1;0,95;3;4
935;1;1;7;35;4;1;-0,50;1;2
936;1;2;17;77;5;1;1,44;3;4
937;1;1;12;41;5;1;-0,06;2;2
938;1;1;2;32;3;1;-1,62;1;1
939;1;1;16;57;5;1;1,03;3;4
940;1;1;17;42;5;1;0,70;3;3
941;1;2;7;35;5;1;-0,26;2;2
942;1;1;7;18;5;1;-0,79;1;1
943;1;2;19;66;4;1;1,14;3;4
944;1;1;17;66;5;1;1,15;3;4
945;1;1;15;65;5;1;0,90;3;4
946;1;2;7;33;5;1;-0,82;1;1
947;1;1;12;58;5;1;0,39;2;3
948;1;2;9;20;5;1;-0,95;1;1
949;1;1;2;35;5;1;-0,82;1;1
950;1;1;12;49;5;1;0,73;3;4
951;1;1;7;27;5;1;-0,98;1;1
952;1;1;7;63;5;1;0,27;2;3
953;1;2;16;40;5;1;0,89;3;4
954;1;1;12;43;5;1;-0,01;2;2
955;1;1;17;45;5;1;1,16;3;4
956;1;1;2;24;1;1;-2,34;1;1
957;1;1;7;41;5;1;-0,60;1;2
958;1;2;12;57;5;1;0,37;2;3
959;1;1;7;38;5;1;-0,17;2;3
960;1;1;9;20;5;1;-0,51;1;2
961;1;1;12;45;4;1;0,36;2;3
962;1;2;14;49;5;1;0,59;3;3
963;1;1;12;38;4;1;-0,17;2;2
964;1;2;7;19;4;1;-1,00;1;1
965;1;1;7;45;5;1;0,05;2;3
966;1;2;7;45;5;1;0,05;2;3
967;1;1;14;63;5;1;1,39;3;4
968;1;1;17;66;5;1;1,38;3;4
969;1;1;15;52;1;1;-0,31;2;2
970;1;1;17;52;5;1;0,77;3;3
971;1;1;12;31;5;1;-0,33;2;2
972;1;2;17;75;5;1;1,64;3;4
973;1;1;15;61;5;1;0,80;3;3
974;1;2;12;59;5;1;0,42;2;3
975;1;1;15;45;5;1;0,37;2;3
976;1;2;17;67;5;1;1,17;3;4
977;1;1;17;49;5;1;1,28;3;4
978;1;1;12;45;5;1;0,27;2;3
979;1;1;10;56;5;1;0,73;3;4
980;1;1;13;66;4;1;1,13;3;4
981;1;1;12;63;5;1;0,78;3;4
982;1;1;7;45;5;1;-0,24;2;2
983;1;1;15;65;5;1;1,15;3;4
984;1;1;15;56;5;1;0,66;3;3
985;1;2;12;41;5;1;-0,06;2;2
986;1;2;7;34;4;1;-1,01;1;1
987;1;1;7;56;5;1;0,39;3;3
988;1;1;16;56;5;1;1,00;3;4
989;1;1;12;49;4;1;0,49;3;3
990;1;1;14;56;5;1;0,56;2;3
991;1;2;17;53;5;1;1,02;3;4
992;1;1;7;60;5;1;0,52;3;3
993;1;1;17;70;5;1;1,50;3;4
994;1;2;17;31;4;1;-0,01;2;2
995;1;2;15;42;5;1;0,29;2;3
996;1;1;15;71;5;1;1,07;3;4
997;1;1;7;41;5;1;-0,08;2;3
998;1;1;10;47;5;1;-0,12;2;2
999;1;1;14;52;5;1;1,04;3;4
1000;1;2;7;27;4;1;-1,20;1;1
1001;1;1;17;74;4;1;1,14;3;4
1002;1;1;3;25;5;1;-1,22;1;1
1003;1;2;17;58;5;1;0,93;3;4
1004;1;1;17;72;5;1;1,55;3;4
1005;1;1;7;36;4;1;-0,95;1;1
1006;1;1;15;53;5;1;0,81;3;4
